,area,주차면수,lon,lat,geometry,category,소유주체,급속/완속,완속충전기_설치가능여부,인구분포,자동차등록현황,administration,전기차증가량
0,4189.0,161.0,127.5868828,34.97032367,POINT (127.5868828 34.97032367),주차장,1,,1.0,0.24107899886403705,0.045100284695798784,광양읍,1.262406698247633
1,2968.0,125.0,127.69542790000001,34.936251899999995,POINT (127.6954279 34.93625189999999),주차장,1,,1.0,0.5918510039960269,0.6482448956844913,중마동,-0.16223444414195465
2,2836.0,89.0,127.5845858,34.97563677,POINT (127.5845858 34.97563677),주차장,1,,1.0,0.039609759069597794,-0.130978165306709,광양읍,1.262406698247633
3,1980.0,52.0,127.58068279999999,34.97013011,POINT (127.5806828 34.97013011),주차장,1,,1.0,0.2663351690652576,0.044476359259331015,광양읍,1.262406698247633
4,1970.0,64.0,127.58070670000001,34.97252282,POINT (127.5807067 34.97252282),주차장,1,,1.0,0.19932786439515315,-0.02459282366810066,광양읍,1.262406698247633
5,1910.0,72.0,127.5817251,34.97817691,POINT (127.5817251 34.97817691),주차장,1,,1.0,4.73189809997789e-05,-0.19412293324338295,광양읍,1.262406698247633
6,1500.0,43.0,127.58525379999999,34.97645745,POINT (127.5852538 34.97645745),주차장,1,,0.0,0.00042302933284516826,-0.17760067248926298,광양읍,1.262406698247633
7,1240.0,43.0,127.57976629999999,34.98258227,POINT (127.5797663 34.98258227),주차장,1,,0.0,-0.14124128292258867,-0.33878081377745134,광양읍,1.262406698247633
8,2354.0,82.0,127.58135190000002,34.97969537,POINT (127.5813519 34.97969537),주차장,1,,1.0,-0.03264134113419433,-0.24153257397151712,광양읍,1.262406698247633
9,1970.0,49.0,127.57664240000001,34.97438687,POINT (127.5766424 34.97438687),주차장,1,,0.0,0.11516506660883319,-0.13094236437201162,광양읍,1.262406698247633
10,360.0,24.0,127.5871045,34.97666683,POINT (127.5871045 34.97666683),주차장,1,,0.0,-0.0010721222414675304,-0.1977653097466336,광양읍,1.262406698247633
11,570.0,12.0,127.5848742,34.9728354,POINT (127.5848742 34.9728354),주차장,1,,0.0,0.14418483942898683,-0.06241270319010363,광양읍,1.262406698247633
12,667.0,25.0,127.5877065,34.97458796,POINT (127.5877065 34.97458796),주차장,1,,0.0,0.08990372885632815,-0.08923714032074208,광양읍,1.262406698247633
13,1900.0,63.0,127.59264499999999,34.97053711,POINT (127.592645 34.97053711),주차장,1,,1.0,0.024619621269927353,-0.07070860794802838,광양읍,1.262406698247633
14,1000.0,33.0,127.5860899,34.98278099,POINT (127.5860899 34.98278099),주차장,1,,0.0,-0.2002934988231452,-0.3898717306560908,광양읍,1.262406698247633
15,1113.0,38.0,127.5753236,34.96525635,POINT (127.5753236 34.96525635),주차장,1,,0.0,0.4578614062969232,0.14186256899628708,광양읍,1.262406698247633
16,734.0,24.0,127.59185020000001,34.973324100000006,POINT (127.5918502 34.97332410000001),주차장,1,,0.0,-0.02055795059403844,-0.11519630603982499,광양읍,1.262406698247633
17,492.0,20.0,127.5847928,34.97062816,POINT (127.5847928 34.97062816),주차장,1,,0.0,0.214508704388858,0.00257098021079628,광양읍,1.262406698247633
18,468.0,8.0,127.5847136,34.97767519,POINT (127.5847136 34.97767519),주차장,1,,0.0,-0.016519857295279123,-0.22811413413962744,광양읍,1.262406698247633
19,250.0,8.0,127.5913702,34.97612992,POINT (127.5913702 34.97612992),주차장,1,,0.0,-0.07252623381731743,-0.26055549390475446,광양읍,1.262406698247633
20,181.0,6.0,127.5913615,34.97561297,POINT (127.5913615 34.97561297),주차장,1,,0.0,-0.05913095525943608,-0.2488935070877681,광양읍,1.262406698247633
21,499.0,14.0,127.5838952,34.97836658,POINT (127.5838952 34.97836658),주차장,1,,0.0,-0.041021958218387986,-0.22207263163547789,광양읍,1.262406698247633
22,238.0,8.0,127.5870409,34.97225676,POINT (127.5870409 34.97225676),주차장,1,,0.0,0.1696990006635577,-0.009666159286681098,광양읍,1.262406698247633
23,369.0,12.0,127.58820190000002,34.97235444,POINT (127.5882019 34.97235444),주차장,1,,0.0,0.1569986209830855,-0.045770191708431815,광양읍,1.262406698247633
24,75.0,5.0,127.58883840000001,34.97350588,POINT (127.5888384 34.97350588),주차장,1,,0.0,0.09906735321400988,-0.09881278447482533,광양읍,1.262406698247633
25,113.0,5.0,127.5859997,34.97777097,POINT (127.5859997 34.97777097),주차장,1,,0.0,-0.033410197613803906,-0.21228363330529293,광양읍,1.262406698247633
26,84.0,5.0,127.58739740000001,34.97679413,POINT (127.5873974 34.97679413),주차장,1,,0.0,-0.01539835141223282,-0.18824972184798006,광양읍,1.262406698247633
27,70.0,4.0,127.5880237,34.9766775,POINT (127.5880237 34.9766775),주차장,1,,0.0,0.011278724482073193,-0.15234491649129525,광양읍,1.262406698247633
28,1587.0,53.0,127.6091227,34.96947377,POINT (127.6091227 34.96947377),주차장,1,,1.0,-0.4860590849642337,-0.46218662962789525,광양읍,1.262406698247633
29,1246.0,43.0,127.6099135,34.97084895,POINT (127.6099135 34.97084895),주차장,1,,0.0,-0.5469173160706102,-0.5237905412782223,광양읍,1.262406698247633
30,1251.0,52.0,127.607064,34.97400612,POINT (127.607064 34.97400612),주차장,1,,1.0,-0.5526887689583619,-0.5581108839313323,광양읍,1.262406698247633
31,409.0,27.0,127.5833946,34.97364516,POINT (127.5833946 34.97364516),주차장,1,,0.0,0.12467001115654053,-0.09011567168295657,광양읍,1.262406698247633
32,87.0,14.0,127.5868828,34.97032367,POINT (127.5868828 34.97032367),주차장,1,,0.0,0.24107899886403705,0.045100284695798784,광양읍,1.262406698247633
33,330.0,16.0,127.5851139,34.96961151,POINT (127.5851139 34.96961151),주차장,1,,0.0,0.2454698774671719,0.041769722533142525,광양읍,1.262406698247633
34,1529.0,35.0,127.59118190000001,34.97169397,POINT (127.5911819 34.97169397),주차장,1,,0.0,0.04916704613120564,-0.14818759611509139,광양읍,1.262406698247633
35,4361.0,165.0,127.6029517,34.95237354,POINT (127.6029517 34.95237354),주차장,1,,1.0,0.4232351655326032,0.35985309584304753,광양읍,1.262406698247633
36,2964.0,113.0,127.60341059999999,34.95061171,POINT (127.6034106 34.95061171),주차장,1,,1.0,0.4962430196113099,0.4296626927916054,광양읍,1.262406698247633
37,3143.0,,127.6063808,34.94441976,POINT (127.6063808 34.94441976),주차장,1,,0.0,0.726879608693394,0.6751551513087064,광양읍,1.262406698247633
38,2692.0,,127.6064422,34.94261233,POINT (127.6064422 34.94261233),주차장,1,,0.0,0.8286381494710393,0.7712990067609197,광양읍,1.262406698247633
39,700.0,24.0,127.57195859999999,34.97620329,POINT (127.5719586 34.97620329),주차장,1,,0.0,-0.08881461020103777,-0.3657993184267769,광양읍,1.262406698247633
40,778.0,11.0,127.5644555,34.96509233,POINT (127.5644555 34.96509233),주차장,1,,0.0,0.10662554615341513,-0.12259979926501091,광양읍,1.262406698247633
41,562.0,15.0,127.5643028,34.9662973,POINT (127.5643028 34.9662973),주차장,1,,0.0,0.0739875622868325,-0.1509308464915152,광양읍,1.262406698247633
42,890.0,34.0,127.57958670000001,34.98027338,POINT (127.5795867 34.98027338),주차장,1,,0.0,-0.060388560034959356,-0.2865876003674962,광양읍,1.262406698247633
43,185.0,4.0,127.57559679999999,34.95235914,POINT (127.5755968 34.95235914),주차장,1,,0.0,1.0272281364021636,0.7174015616517757,광양읍,1.262406698247633
44,1890.0,64.0,127.5755321,34.97710286,POINT (127.5755321 34.97710286),주차장,1,,1.0,0.00017309556205061182,-0.25081868777203264,광양읍,1.262406698247633
45,185.0,4.0,127.57699170000001,34.94399797,POINT (127.5769917 34.94399797),주차장,1,,0.0,1.4355329259870282,1.1009190510685278,광양읍,1.262406698247633
46,391.0,14.0,127.59191659999999,34.97350865,POINT (127.5919166 34.97350865),주차장,1,,0.0,-0.029444358195207708,-0.12238639955809186,광양읍,1.262406698247633
47,690.0,29.0,127.5823986,34.96945565,POINT (127.5823986 34.96945565),주차장,1,,0.0,0.28433982907355776,0.061916468856686446,광양읍,1.262406698247633
48,962.0,35.0,127.5695116,34.96635132,POINT (127.5695116 34.96635132),주차장,1,,0.0,0.20123082146328605,-0.06371868038823403,광양읍,1.262406698247633
49,3180.0,92.0,127.590331,34.97385716,POINT (127.590331 34.97385716),주차장,1,,1.0,0.029569222241694882,-0.16777953568757167,광양읍,1.262406698247633
